icao,regid,mdl,type,operator
44ba68,oo-nsh,ec55,Eurocopter EC-155B1,Noordzee Helikopters Vlaandere
44ba6e,oo-nsn,a139,AugustaWestland AW139,NHV Helikopters
44bc61,oo-oca,b350,Beech 300 Super King Air 350,Air Service Liege
44c069,oo-pci,pc12,Pilatus PC12/47E,European Aircraft Private Club
44c06a,oo-pcj,pc12,Pilatus PC-12/47E,European Aircraft Private Club
44c0a7,oo-peg,p28a,Piper PA28-181 Archer,Private owner
44c14d,oo-pjm,p46t,Piper PA46 JetPROP DLX,Private owner
44c170,oo-pkp,pa34,Piper PA34-200T Seneca II,Private owner
44c1ab,oo-pmk,tbm8,Socata TBM-850,Private owner
44c1e1,ot-gl,c182,Cessna 182Q Skylane,Belgian Federal Police
44c1e5,ot-gia,expl,McDonnell Douglas MD-900 Explo,Belgian Federal Police
44c1e8,ot-gic,expl,McDonnell Douglas MD-900 Explo,Belgian Federal Police
44c9e2,oo-rob,ac90,Rockwell 690B,Private owner
44cc24,oo-sad,be9l,Beech A90-1 King Air,Private owner
44cc27,oo-sag,p28a,Piper PA-28-181 Archer 3,Private owner
44cc94,oo-sdt,b350,Beech 300 Super King Air 350,Private owner
44ccb8,oo-sex,c208,Cessna 208B Grand Caravan,Skydive Spa
44ccc1,oo-sfa,da42,Diamond DA42 Twin Star,Private owner
44ccc9,oo-sfi,da42,Diamond DA42 Twin Star,Private owner
44cccd,oo-sfm,a333,Airbus A330-301,Brussels Airlines
44ccce,oo-sfn,a333,Airbus A330-301,Brussels Airlines
44cccf,oo-sfo,a333,Airbus A330-301,Brussels Airlines
44ccd5,oo-sfu,a332,Airbus A330-223,Brussels Airlines
44ccd6,oo-sfv,a333,Airbus A330-322,Brussels Airlines
44ccd7,oo-sfw,a333,Airbus A330-322,Brussels Airlines
44ccd9,oo-sfy,a332,Airbus A330-223,Brussels Airlines
44ccda,oo-sfz,a332,Airbus A330-223,Brussels Airlines
44cdc1,oo-sna,a320,Airbus A320-214,Brussels Airlines
44cdc2,oo-snb,a320,Airbus A320-214,Brussels Airlines
44cdc3,oo-snc,a320,Airbus A320-214,Brussels Airlines
44cdc4,oo-snd,a320,Airbus A320-214,Brussels Airlines
44cdc6,oo-snf,a320,Airbus A320-214,Brussels Airlines
44cdc7,oo-sng,a320,Airbus A320-214,Brussels Airlines
44cdee,oo-son,ulac,The Airplane Factory Sling 2,Private owner
44ce01,oo-spa,c208,Cessna 208B Grand Caravan,Private owner
44ce61,oo-ssa,a319,Airbus A319-111,Brussels Airlines
44ce62,oo-ssb,a319,Airbus A319-111,Brussels Airlines
44ce63,oo-ssc,a319,Airbus A319-112,Brussels Airlines
44ce64,oo-ssd,a319,Airbus A319-112,Brussels Airlines
44ce65,oo-sse,a319,Airbus A319-111,Brussels Airlines
44ce66,oo-ssf,a319,Airbus A319-111,Brussels Airlines
44ce67,oo-ssg,a319,Airbus A319-132,Brussels Airlines
